trial,assigned_delay,movement_start_time,target_placement_time,exploration_time,annotation_time,target_location,target_annotation,error_distance
training 1,10,1.65,11.65,17.308,15.78,"[-0.1, 0.85]","[-0.07, 0.87]",0.0360555127546399
training 2,11,2.72,,6.563,13.03,,"[-0.06, 0.92]",
training 3,11,,,0.502,9.73,,"[0.0, 0.81]",
dark_training 1,8,0.88,9.43,10.539,10.48,"[-0.45, -0.23]","[0.0, 0.0]",0.5053711507397312
dark_training 2,10,0.38,,10.974,3.03,,"[0.0, 0.0]",
dark_training 3,11,3.64,,4.368,6.9,,"[-0.09, -0.05]",
test 1,14,1.3,16.5,17.584,4.38,"[0.24, 1.06]","[0.0, 0.0]",1.086830253535482
test 2,14,1.48,,5.89,2.35,,"[0.0, 0.0]",
test 3,14,0.26,,5.538,2.72,,"[0.0, 0.0]",
test 4,15,0.53,,5.793,1.25,,"[0.0, 0.0]",
test 5,9,0.8,,5.939,0.54,,"[0.0, 0.0]",
